ParticipantName,[data quality]Value,[Gender]Value,MediaName,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,AOI[A]Hit,AOI[D]Hit,AOI[G]Hit,AOI[J]Hit,AOI[P]Hit,AOI[B]Hit,AOI[E]Hit,AOI[H]Hit,AOI[K]Hit,AOI[C]Hit,AOI[F]Hit,AOI[I]Hit,AOI[L]Hit,AOI[N]Hit,AOI[M]Hit,AOI[O]Hit,AOI[Q]Hit,AOI[R]Hit
P1F,<70%,Female,Normal Sinus Rhythm.JPG,1,,Fixation,199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,1,,Fixation,199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,1,,Fixation,199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,1,,Fixation,199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,1,,Fixation,199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,1,,Fixation,199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,1,,Fixation,199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,1,Saccade,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,1,Saccade,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,,Unclassified,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,,Unclassified,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,,Unclassified,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,2,Saccade,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,2,Saccade,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,,Unclassified,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,,Unclassified,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,3,Saccade,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,,Unclassified,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,4,Saccade,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,4,Saccade,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,4,Saccade,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,,4,Saccade,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,2,,Fixation,120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,2,,Fixation,120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Normal Sinus Rhythm.JPG,2,,Fixation,120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
