ParticipantName,[data quality]Value,[Gender]Value,MediaName,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,AOI[A]Hit,AOI[D]Hit,AOI[G]Hit,AOI[J]Hit,AOI[B]Hit,AOI[E]Hit,AOI[H]Hit,AOI[K]Hit,AOI[C]Hit,AOI[F]Hit,AOI[I]Hit,AOI[L]Hit,AOI[M]Hit,AOI[Q]Hit
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,1,Saccade,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,1,Saccade,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,1,,Fixation,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,1,,Fixation,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,1,,Fixation,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,1,,Fixation,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,1,,Fixation,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,1,,Fixation,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,2,Saccade,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,2,Saccade,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,2,,Fixation,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,2,,Fixation,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,2,,Fixation,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,2,,Fixation,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,2,,Fixation,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,2,,Fixation,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,2,,Fixation,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,2,,Fixation,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,2,,Fixation,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,3,Saccade,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,,Unclassified,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,4,Saccade,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,4,Saccade,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,,4,Saccade,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,3,,Fixation,179,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,3,,Fixation,179,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1F,<70%,Female,Ventricular Fibrillation.jpg,3,,Fixation,179,0,1,0,0,0,0,0,0,0,0,0,0,0,0
